SampleID,Predator.Final,Year,Month,Season,Location,SubSiteID,Complex,RegionCode,Estuary,Latitude,Longitude,Chinook,Chum,Coho,Hake,Herring,Pink,Sockeye
Ej16.E082,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,57.76983095,0,0,42.23016905,0,0
Ej16.E084,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,13.54279523,86.45720477,0,0
Ej16.E085,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,2.097902098,0,54.07925408,14.45221445,0,0
Ej16.E086,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,26.43896268,0,0,73.56103732,0,0
Ej16.E087,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,88.647343,0,0,0
Ej16.E088,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,37.25806452,0,21.4516129,41.29032258,0,0
Ej16.E089,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,11.2062965,0,46.33027523,4.204892966,0,0
Ej16.E092,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,7.664688607,0,73.34004024,18.00804829,0,0
Ej16.E097,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,4.694167852,0,78.87624467,16.42958748,0,0
Ej16.E098,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,0,100,0,0
Ej16.E099,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,30.18372703,0,4.199475066,65.6167979,0,0
Ej16.E100,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,0,100,0,0
Ej16.F002,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,0,100,0,0
Ej16.F003,Harbour,2016,Nov,Fall,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,49.85717976,0,0,26.03029236,0,0
Ej16.F010,Harbour,2016,Nov,Fall,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,100,0,0
Pv15.A001,Harbour,2015,Apr,Spring,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,45.12731636,54.87268364,0,0
Pv15.A002,Harbour,2015,May,Spring,Maude,H0490,Maude_Reef,SOG,Non-Estuary,49.4993,-124.68401,0,0,0,0,100,0,0
Pv15.A003,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0.543080998,0,1.227709703,0,97.77856762,0.450641679,0
Pv15.A004,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,94.52603471,5.473965287,0,0
Pv15.A005,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,100,0,0,0
Pv15.A006,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,0,100,0,0
Pv15.A007,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,0,20.25325311,0,0
Pv15.A008,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,100,0,0,0
Pv15.A009,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,100,0,0,0
Pv15.A010,Harbour,2015,May,Spring,Heron,H0203a,Norris-Heron_Rocks,SOG,Non-Estuary,49.48989,-124.65461,0,0,0,0,100,0,0
Pv15.A011,Harbour,2015,May,Spring,Heron,H0203a,Norris-Heron_Rocks,SOG,Non-Estuary,49.48989,-124.65461,0,0,0,93.71329879,6.286701209,0,0
Pv15.A012,Harbour,2015,May,Spring,Heron,H0203a,Norris-Heron_Rocks,SOG,Non-Estuary,49.48989,-124.65461,0,0,0,41.89268522,0,0,0
Pv15.A013,Harbour,2015,May,Spring,Heron,H0203a,Norris-Heron_Rocks,SOG,Non-Estuary,49.48989,-124.65461,0,0,0,89.28994083,0,0,0
Pv15.A014,Harbour,2015,May,Spring,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,100,0,0
Pv15.A015,Harbour,2015,May,Spring,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,100,0,0
Pv15.A016,Harbour,2015,May,Spring,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,100,0,0
Pv15.A017,Harbour,2015,May,Spring,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,100,0,0
Pv15.A018,Harbour,2015,May,Spring,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,0,100,0,0
Pv15.A019,Harbour,2015,May,Spring,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,89.64092787,10.35907213,0,0
Pv15.A020,Harbour,2015,May,Spring,Norris,H0470,Norris-Heron_Rocks,SOG,Non-Estuary,49.48441,-124.64681,0,0,0,100,0,0,0
Pv15.A021,Harbour,2015,May,Spring,Heron,H0203a,Norris-Heron_Rocks,SOG,Non-Estuary,49.48989,-124.65461,0,0,0,0,97.92524005,0,0
Pv15.A022,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,100,0,0,0
Pv15.A023,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,100,0,0,0
Pv15.A024,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,100,0,0,0
Pv15.A025,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,0,100,0,0
Pv15.A026,Harbour,2015,May,Spring,Maude,H0490,Maude_Reef,SOG,Non-Estuary,49.4993,-124.68401,0,0,0,0,0,0,0
Pv15.A027,Harbour,2015,May,Spring,Maude,H0490,Maude_Reef,SOG,Non-Estuary,49.4993,-124.68401,0,0,0,0,92.39302694,0,0
Pv15.A028,Harbour,2015,May,Spring,Maude,H0490,Maude_Reef,SOG,Non-Estuary,49.4993,-124.68401,0,0,0,0,13.22912014,0,0
Pv15.A029,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,100,0,0,0
Pv15.A030,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,100,0,0,0
Pv15.A031,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,100,0,0,0
Pv15.A032,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,43.5451505,56.4548495,0,0
Pv15.A033,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,100,0,0,0
Pv15.A034,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,76.19047619,23.80952381,0,0
Pv15.A035,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,0,100,0,0
Pv15.A036,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,10,90,0,0
Pv15.A037,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,14.6039604,7.194719472,0,0
Pv15.A038,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,100,0,0,0
Pv15.A039,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0.434291775,5.650270314,0,0,30.77811334,0,0
Pv15.A040,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,20.83333333,0,66.77350427,12.39316239,0,0
Pv15.A041,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,0,100,0,0
Pv15.A043,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,0,100,0,0
Pv15.A044,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,22.00188857,39.47119924,0,0
Pv15.A045,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,100,0,0,0
Pv15.A046,Harbour,2015,May,Spring,Deep Bay,H1957,Deep_Bay_Aquaculture_Infrastructure,SOG,Estuary,49.463186,-124.748416,0,0,0,0,100,0,0
Pv15.A047,Harbour,2015,May,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,0,0,0,0
Pv16.A001,Harbour,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,100,0,0
Pv16.A002,Harbour,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,15.67845921,2.740602816,0,0
Pv16.A003,Harbour,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,100,0,0
Pv16.A004,Harbour,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,100,0,0
Pv16.A007,Harbour,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,100,0,0
Pv16.A008,Harbour,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,100,0,0
Pv16.A009,Harbour,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,0,0
Pv16.A010,Harbour,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,95.221843,0,0
Pv16.A011,Harbour,2016,Apr,Spring,Heron,H0203a,Norris-Heron_Rocks,SOG,Non-Estuary,49.48989,-124.65461,0,0,0,0,91.57328552,0,0
Pv16.A012,Harbour,2016,Apr,Spring,Heron,H0203a,Norris-Heron_Rocks,SOG,Non-Estuary,49.48989,-124.65461,0,0,0,100,0,0,0
Pv16.A013,Harbour,2016,Apr,Spring,Heron,H0203a,Norris-Heron_Rocks,SOG,Non-Estuary,49.48989,-124.65461,0,0,0,98.24936783,1.750632173,0,0
Pv16.A014,Harbour,2016,May,Spring,Danger,H0028,Danger_Reefs,SOG,Non-Estuary,49.05388,-123.7145,0,0,0,0,61.02783726,0,0
Pv16.A015,Harbour,2016,May,Spring,Danger,H0028,Danger_Reefs,SOG,Non-Estuary,49.05388,-123.7145,0,0,0,6.526700137,0,0,0
Pv16.A016,Harbour,2016,May,Spring,Danger,H0028,Danger_Reefs,SOG,Non-Estuary,49.05388,-123.7145,0,0,0,0,0,0,0
Pv16.A017,Harbour,2016,May,Spring,Danger,H0028,Danger_Reefs,SOG,Non-Estuary,49.05388,-123.7145,0,0,0,0,100,0,0
Pv16.A018,Harbour,2016,May,Spring,Danger,H0028,Danger_Reefs,SOG,Non-Estuary,49.05388,-123.7145,0,0,0,0,96.19047619,0,0
Pv16.A019,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,41.32882883,0,0
Pv16.A020,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,100,0,0,0
Pv16.A021,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,37.43064447,0,0
Pv16.A022,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,87.5,7.321428571,0,0
Pv16.A023,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,24.79928635,75.20071365,0,0
Pv16.A024,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,93.00225734,0,0,0
Pv16.A025,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,22.4,64.8,0,0
Pv16.A026,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,100,0,0,0
Pv16.A027,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,100,0,0,0
Pv16.A028,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,11.68918919,0,0,0
Pv16.A029,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,100,0,0,0
Pv16.A030,Harbour,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,100,0,0,0
Pv16.A031,Harbour,2016,May,Spring,Great Chain,H0004,Chain_Islets,SOG,Non-Estuary,48.4205078,-123.265279,0,0,0,0,0,0,0
Pv16.A032,Harbour,2016,May,Spring,Great Chain,H0004,Chain_Islets,SOG,Non-Estuary,48.4205078,-123.265279,1.01010101,0,0,0,66.46464646,0,0
Pv16.A033,Harbour,2016,May,Spring,Great Chain,H0004,Chain_Islets,SOG,Non-Estuary,48.4205078,-123.265279,0,0,0,0,0,34.7826087,0
Pv16.A034,Harbour,2016,May,Spring,Great Chain,H0004,Chain_Islets,SOG,Non-Estuary,48.4205078,-123.265279,0,0,0,0,0,0,0
Pv16.A036,Harbour,2016,Jun,Summer,Norway,H0181a,Norway_Island,SOG,Non-Estuary,48.973633,-123.617013,0,0,0,0,0,0,0
Pv16.A037,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,12.27495908,0,0,1.309328969
Pv16.A038,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,59.69735268,4.919169798,29.10660736,0,0,0,0
Pv16.A039,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,6.25,0,93.75,0,0
Pv16.A040,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,9.420289855,0
Pv16.A041,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,60.95207462,24.05918302,0,0
Pv16.A042,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,100,0,0,0
Pv16.A045,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,58.30985915,35.35211268,0,0
Pv16.A046,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,23.12138728,0,0
Pv16.A047,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,8.209647495,0,0,0
Pv16.A048,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,68.98734177,0,0,0
Pv16.A049,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,56.61063153,31.64470695,0,0
Pv16.A051,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,29.71216342,0,0,0
Pv16.A053,Harbour,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,0,0
Pv16.A054,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,100,0,0,0
Pv16.A055,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,96.36127355,0,0,0
Pv16.A056,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,100,0,0,0
Pv16.A057,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,97.43589744,2.564102564,0,0
Pv16.A058,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,70.67718606,0,0,0
Pv16.A059,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,93.80987472,0,0,0
Pv16.A060,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,25.72678962,13.69177868,0,0
Pv16.A061,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,100,0,0,0
Pv16.A062,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,44.93506494,1.298701299,0,0
Pv16.A063,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,0,100,0,0
Pv16.A064,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,0,25.58139535,0,0
Pv16.A065,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,41.1104307,4.531537048,0,0
Pv16.A066,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,100,0,0,0
Pv16.A067,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,22.18756498,0,0,0
Pv16.A068,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,98.29129373,0,0,0
Pv16.A069,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,47.97297297,0,0,0
Pv16.A070,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,45.76650504,0,0,0
Pv16.A071,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,27.00296736,0,0,0
Pv16.A072,Harbour,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,47.36842105,0,0,0
Pv16.A073,Harbour,2016,May,Spring,Miami,H0027,Miami_Islet,SOG,Non-Estuary,49.03746,-123.70938,0,0,0,0,0,0,0
Pv16.A074,Harbour,2016,May,Spring,Norway,H0181a,Norway_Island,SOG,Non-Estuary,48.973633,-123.617013,0,0,0,0,0,0,0
Pv16.A075,Harbour,2016,Apr,Spring,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,10.52631579,89.47368421,0,0
Pv16.A076,Harbour,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,100,0,0
Pv16.A077,Harbour,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,100,0,0
Pv16.A078,Harbour,2016,Apr,Spring,Snake,H0054,Snake_Island,SOG,Non-Estuary,49.21444,-123.89004,0,0,0,0,0,0,0
Pv16.A079,Harbour,2016,Apr,Spring,Snake,H0054,Snake_Island,SOG,Non-Estuary,49.21444,-123.89004,0,0,0,90.14195584,9.858044164,0,0
Pv16.A080,Harbour,2016,Apr,Spring,Snake,H0054,Snake_Island,SOG,Non-Estuary,49.21444,-123.89004,0,0,0,26.44628099,73.55371901,0,0
Pv16.A081,Harbour,2016,Apr,Spring,Snake,H0054,Snake_Island,SOG,Non-Estuary,49.21444,-123.89004,0,0,0,100,0,0,0
Pv16.A082,Harbour,2016,Apr,Spring,Snake,H0054,Snake_Island,SOG,Non-Estuary,49.21444,-123.89004,0,0,0,79.71602434,0,0,0
Pv16.A083,Harbour,2016,Apr,Spring,Snake,H0054,Snake_Island,SOG,Non-Estuary,49.21444,-123.89004,0,0,0,0,0,0,0
Pv16.A084,Harbour,2016,Apr,Spring,Snake,H0054,Snake_Island,SOG,Non-Estuary,49.21444,-123.89004,0,0,0,15.54934823,84.45065177,0,0
Pv16.A085,Harbour,2016,Apr,Spring,Snake,H0054,Snake_Island,SOG,Non-Estuary,49.21444,-123.89004,0,0,0,9.292035398,15.84070796,0,0
Pv16.A087,Harbour,2016,May,Spring,Belle Chain,H0069a,Belle_Chain,SOG,Estuary,48.83226,-123.19843,0,0,0,2.285714286,13.14285714,0,0
Pv16.A088,Harbour,2016,May,Spring,Belle Chain,H0069a,Belle_Chain,SOG,Estuary,48.83226,-123.19843,0,0,31.57894737,0,0,0,0
Pv16.A089,Harbour,2016,May,Spring,Belle Chain,H0069a,Belle_Chain,SOG,Estuary,48.83226,-123.19843,0,0,0,70.07874016,0,0,0
Pv16.A090,Harbour,2016,May,Spring,Belle Chain,H0069a,Belle_Chain,SOG,Estuary,48.83226,-123.19843,0,0,0,2.632541133,0,0,0
Pv16.A091,Harbour,2016,May,Spring,Belle Chain,H0069a,Belle_Chain,SOG,Estuary,48.83226,-123.19843,0,0,0,100,0,0,0
Pv16.A092,Harbour,2016,May,Spring,Belle Chain,H0069a,Belle_Chain,SOG,Estuary,48.83226,-123.19843,0,0,0,90.39145907,0,0,0
Pv16.A093,Harbour,2016,May,Spring,Belle Chain,H0069a,Belle_Chain,SOG,Estuary,48.83226,-123.19843,0,0,0,91.79019384,0,0,0
Pv16.A094,Harbour,2016,May,Spring,Belle Chain,H0069a,Belle_Chain,SOG,Estuary,48.83226,-123.19843,0,0,0,0,0,0,0
Pv16.A095,Harbour,2016,May,Spring,Belle Chain,H0069a,Belle_Chain,SOG,Estuary,48.83226,-123.19843,0,0,0,38.98305085,0,0,0
Pv16.A096,Harbour,2016,May,Spring,Belle Chain,H0069a,Belle_Chain,SOG,Estuary,48.83226,-123.19843,0,0,0,44.88188976,0,0,0
Pv16.A097,Harbour,2016,May,Spring,Belle Chain,H0069a,Belle_Chain,SOG,Estuary,48.83226,-123.19843,0,0,8.307287383,0,0,0,0
